INDEX,COUNTRY,WEEK,YEAR,PRICE EX VAT,PRICE INCL VAT, SOMETHING, SOMETHINGELSE
1,Croatia,42,2018,1.13318,1.41647,0.412761,0.283294
2,Germany,42,2018,1.14958,1.368,0.4704,0.21842
3,Austria,42,2018,1.09917,1.319,0.40964,0.219834
4,Belgium,42,2018,1.2676,1.5338,0.60016,0.266196
5,Bulgaria,42,2018,0.982125,1.17855,0.3303,0.196425
6,Cyprus,42,2018,1.16244,1.3833,0.4607,0.220864
7,Denmark,42,2018,1.18699,1.48373,0.421933,0.296747
8,Spain,42,2018,1.06192,1.28492,0.36735,0.223003
9,Estonia,42,2018,1.16417,1.397,0.493,0.232834
10,Finland,42,2018,1.18226,1.466,0.45992,0.283742
11,France,42,2018,1.27757,1.53308,0.6095,0.255514
12,Greece,42,2018,1.18871,1.474,0.42306,0.28529
13,Hungary,42,2018,1.05618,1.34135,0.34891,0.285169
14,Ireland,42,2018,1.15366,1.419,0.49902,0.265342
15,Italy,42,2018,1.28321,1.56552,0.6174,0.282306
16,Latvia,42,2018,1.04249,1.26141,0.38231,0.218923
17,Lithuania,42,2018,1.03409,1.25125,0.347,0.217159
18,Luxembourg,42,2018,1.01197,1.18401,0.335,0.172035
19,Malta,42,2018,1.04237,1.23,0.4724,0.187627
20,Netherlands,42,2018,1.17686,1.424,0.49781,0.247141
21,Poland,42,2018,0.972118,1.19571,0.340937,0.223587
22,Portugal,42,2018,1.16667,1.435,0.4711,0.268334
23,CzechRep,42,2018,1.06844,1.29281,0.424452,0.224373
24,Romania,42,2018,1.08802,1.29474,0.393812,0.206724
25,UnitedKingdom,42,2018,1.29317,1.5518,0.658186,0.258634
26,Slovakia,42,2018,1.1075,1.329,0.39765,0.2215
27,Slovenia,42,2018,1.0875,1.32675,0.46899,0.23925
28,Sweden,42,2018,1.27621,1.59527,0.440127,0.319053
